,precision,recall,f1-score,support
0,0.5984555984555985,0.4740061162079511,0.5290102389078498,327.0
1,0.46153846153846156,0.2857142857142857,0.35294117647058826,147.0
2,0.46153846153846156,0.5373134328358209,0.496551724137931,335.0
3,0.625,0.6060606060606061,0.6153846153846154,66.0
4,0.8010109847380189,0.9347702779353375,0.8627368861899278,8815.0
5,0.5991189427312775,0.43870967741935485,0.5065176908752328,310.0
6,0.36065573770491804,0.16296296296296298,0.2244897959183674,135.0
7,0.30526315789473685,0.21323529411764705,0.2510822510822511,136.0
8,0.4024390243902439,0.22758620689655173,0.29074889867841414,145.0
9,0.33482142857142855,0.1913265306122449,0.2435064935064935,392.0
10,0.13793103448275862,0.10256410256410256,0.11764705882352941,78.0
11,0.5040650406504065,0.4776579352850539,0.490506329113924,1947.0
12,0.36666666666666664,0.24719101123595505,0.2953020134228188,89.0
13,0.4307692307692308,0.23529411764705882,0.3043478260869565,119.0
14,0.3711340206185567,0.22784810126582278,0.2823529411764706,158.0
15,0.45569620253164556,0.22085889570552147,0.29752066115702475,163.0
16,0.2898550724637681,0.21505376344086022,0.24691358024691362,279.0
17,0.3558467741935484,0.30668983492615115,0.32944470368642087,1151.0
18,0.8696604600219058,0.9227193492155723,0.895404567239921,1721.0
19,0.10344827586206896,0.12,0.11111111111111112,25.0
20,0.4013605442176871,0.3259668508287293,0.35975609756097565,181.0
21,0.3404255319148936,0.20253164556962025,0.25396825396825395,79.0
22,0.2891566265060241,0.17777777777777778,0.22018348623853212,135.0
23,0.37994722955145116,0.39669421487603307,0.3881401617250673,363.0
24,0.3305785123966942,0.25,0.2846975088967972,160.0
25,0.34831460674157305,0.21678321678321677,0.2672413793103448,143.0
26,0.06818181818181818,0.08108108108108109,0.07407407407407407,37.0
27,0.37142857142857144,0.22491349480968859,0.2801724137931034,289.0
28,0.3684210526315789,0.23333333333333334,0.2857142857142857,180.0
29,0.9966142202748457,0.9958208955223881,0.9962173999601831,30150.0
30,0.29464285714285715,0.2773109243697479,0.28571428571428575,119.0
31,0.42105263157894735,0.2191780821917808,0.2882882882882883,73.0
32,0.5632183908045977,0.639269406392694,0.5988389856400854,1533.0
33,0.358695652173913,0.21568627450980393,0.2693877551020408,153.0
34,0.23404255319148937,0.2682926829268293,0.25,82.0
35,0.48186528497409326,0.36046511627906974,0.4124168514412417,516.0
36,0.3104265402843602,0.2524084778420039,0.2784272051009564,519.0
37,0.22727272727272727,0.21739130434782608,0.22222222222222224,46.0
38,0.9979837548245867,0.9982712919211709,0.9981275026647077,17354.0
accuracy,0.8914639475600874,0.8914639475600874,0.8914639475600874,0.8914639475600874
macro avg,0.42611650466452333,0.35130098906183727,0.3783874030931335,68650.0
weighted avg,0.8817241386179195,0.8914639475600874,0.884807991082961,68650.0
Total_training_time(s),402.41632319556084,,,
Input_size,22,,,
