,precision,recall,f1-score,support
0,0.6217228464419475,0.5139318885448917,0.5627118644067797,323.0
1,0.4482758620689655,0.2765957446808511,0.3421052631578947,141.0
2,0.4716312056737589,0.4143302180685358,0.44112769485903813,321.0
3,0.6964285714285714,0.6724137931034483,0.6842105263157895,58.0
4,0.8216065377715767,0.9350119088125213,0.8746485597581031,8817.0
5,0.6823104693140795,0.6237623762376238,0.6517241379310345,303.0
6,0.31868131868131866,0.232,0.26851851851851855,125.0
7,0.375,0.267515923566879,0.3122676579925651,157.0
8,0.35135135135135137,0.23636363636363636,0.28260869565217395,165.0
9,0.42924528301886794,0.2161520190023753,0.28751974723538704,421.0
10,0.17073170731707318,0.1917808219178082,0.18064516129032257,73.0
11,0.5004716981132076,0.5432667690732207,0.5209918978639824,1953.0
12,0.27058823529411763,0.2911392405063291,0.2804878048780488,79.0
13,0.4444444444444444,0.2807017543859649,0.34408602150537637,114.0
14,0.4230769230769231,0.2603550295857988,0.3223443223443223,169.0
15,0.5060240963855421,0.2781456953642384,0.358974358974359,151.0
16,0.32661290322580644,0.2903225806451613,0.3074003795066414,279.0
17,0.3755958055290753,0.3399482312338223,0.3568840579710145,1159.0
18,0.9119318181818182,0.890677025527192,0.9011791128579449,1802.0
19,0.17857142857142858,0.18518518518518517,0.18181818181818182,27.0
20,0.4385026737967914,0.41836734693877553,0.4281984334203655,196.0
21,0.3114754098360656,0.2878787878787879,0.2992125984251969,66.0
22,0.2647058823529412,0.16875,0.20610687022900764,160.0
23,0.465564738292011,0.4884393063583815,0.4767277856135402,346.0
24,0.3652173913043478,0.25766871165644173,0.302158273381295,163.0
25,0.37606837606837606,0.2857142857142857,0.3247232472324723,154.0
26,0.15217391304347827,0.17073170731707318,0.16091954022988506,41.0
27,0.4022346368715084,0.23076923076923078,0.29327902240325865,312.0
28,0.296969696969697,0.28654970760233917,0.29166666666666663,171.0
29,0.9960151424586571,0.9965115120103658,0.9962632654078024,30099.0
30,0.3142857142857143,0.25,0.27848101265822783,132.0
31,0.3617021276595745,0.20481927710843373,0.2615384615384615,83.0
32,0.6476617552850736,0.6358490566037736,0.6417010472865756,1590.0
33,0.43023255813953487,0.25,0.3162393162393162,148.0
34,0.2857142857142857,0.12195121951219512,0.17094017094017094,82.0
35,0.4844559585492228,0.3839835728952772,0.42840778923253153,487.0
36,0.2962962962962963,0.31020408163265306,0.30309072781655033,490.0
37,0.3090909090909091,0.3469387755102041,0.3269230769230769,49.0
38,0.9997285313546286,0.9999321190179885,0.9998303148225659,44195.0
accuracy,0.9254401104590956,0.9254401104590956,0.9254401104590956,0.9254401104590956
macro avg,0.449292269314333,0.38550406513670993,0.4094528611616525,95601.0
weighted avg,0.9203363053672133,0.9254401104590956,0.9219087263526191,95601.0
Total_training_time(s),544.3962502310751,,,
Input_size,76,,,
