,precision,recall,f1-score,support
0,0.5765765765765766,0.46715328467153283,0.5161290322580645,274.0
1,0.4791666666666667,0.19827586206896552,0.28048780487804875,116.0
2,0.4479638009049774,0.4074074074074074,0.4267241379310345,243.0
3,0.76,0.7169811320754716,0.7378640776699028,53.0
4,0.30772058823529413,0.612289685442575,0.40959138732566674,1367.0
5,0.6692015209125475,0.6027397260273972,0.6342342342342342,292.0
6,0.28,0.05303030303030303,0.089171974522293,132.0
7,0.1891891891891892,0.07291666666666667,0.10526315789473684,96.0
8,0.21052631578947367,0.06201550387596899,0.09580838323353293,129.0
9,0.2465753424657534,0.05232558139534884,0.08633093525179857,344.0
10,0.07692307692307693,0.045454545454545456,0.05714285714285715,66.0
11,0.3757409940720474,0.4951923076923077,0.4272750842623801,1664.0
12,0.7272727272727273,0.2222222222222222,0.3404255319148936,72.0
13,0.2222222222222222,0.0967741935483871,0.1348314606741573,124.0
14,0.375,0.057692307692307696,0.09999999999999999,156.0
15,0.5277777777777778,0.25675675675675674,0.34545454545454546,148.0
16,0.22857142857142856,0.07207207207207207,0.1095890410958904,222.0
17,0.2908415841584158,0.2576754385964912,0.27325581395348836,912.0
18,0.9380530973451328,0.8969230769230769,0.9170271333071176,1300.0
19,0.0,0.0,0.0,24.0
20,0.2537313432835821,0.11724137931034483,0.16037735849056603,145.0
21,0.35,0.28,0.3111111111111111,50.0
22,0.17647058823529413,0.04580152671755725,0.07272727272727274,131.0
23,0.4221105527638191,0.3010752688172043,0.3514644351464435,279.0
24,0.17105263157894737,0.09285714285714286,0.12037037037037038,140.0
25,0.30158730158730157,0.1310344827586207,0.1826923076923077,145.0
26,0.1875,0.0967741935483871,0.12765957446808507,31.0
27,0.4444444444444444,0.11228070175438597,0.1792717086834734,285.0
28,0.14473684210526316,0.09090909090909091,0.1116751269035533,121.0
29,0.23148148148148148,0.23148148148148148,0.23148148148148148,108.0
30,0.10344827586206896,0.049586776859504134,0.06703910614525141,121.0
31,0.36363636363636365,0.0547945205479452,0.09523809523809523,73.0
32,0.4550359712230216,0.6787391012743126,0.5448183041722746,1491.0
33,0.4634146341463415,0.15966386554621848,0.23749999999999996,119.0
34,0.2702702702702703,0.29411764705882354,0.28169014084507044,68.0
35,0.3983286908077994,0.3341121495327103,0.3634053367217281,428.0
36,0.34444444444444444,0.13839285714285715,0.19745222929936307,448.0
37,0.5185185185185185,0.3684210526315789,0.4307692307692308,38.0
38,0.999870407568198,0.9997408487204406,0.9998056239471297,15435.0
accuracy,0.7519167579408543,0.7519167579408543,0.7519167579408543,0.7519167579408543
macro avg,0.372548863360012,0.26212620925867725,0.2859783437748064,27390.0
weighted avg,0.7497099562788649,0.7519167579408543,0.7398560358435387,27390.0
Total_training_time(s),172.68305021798005,,,
Input_size,78,,,
